predicted_distance,actual_distance,mode
0.451,0.966,Walking
551,643,Walking
513,643,Bus
0.999,0.999,Walking
752,963,Walking
0.239,0.2,Walking
0.731,700,Walking
6.05,0.231,Bus
0.91,0.8,Walking
0.508,500,Walking
0.76,0.6,Walking
4.43,2.5,Bus
0.399,0.399,Walking
3.09,3,Bus
2.72,3,Bus
0.279,0.3,Walking
0.454,0.3,Walking
0.528,0.5,Walking
0.504,0.5,Walking
403,400,Walking
262,250,Walking
0.614,0.5,Walking
0.282,0.25,Walking
0.399,0.225,Walking
0.225,0.225,Walking
3.6,1.7,Bus
2.69,2.69,Bus
2.09,2.09,Bus
2.72,2.72,Bus
1.11,1.11,Walking
1.1,1.1,Walking
2.21,2.21,Bus
2.81,2.81,Bus
0.977,0.977,Car
0.987,0.987,Car
1.12,1.12,Walking
1.05,1.05,Walking
2.29,2.29,Car
29.61,29.61,Car
1.36,1.36,E-Scooter
3.37,2.89,Car
9.53,9.53,Car
0.46,0.3,Walking
0.487,0.4,Walking
0.466,0.4,Walking
2.7,2,Bus
2.65,2,Bus
0.405,0.4,Walking
0.749,0.5,Walking
0.47,0.5,Walking
0.473,0.5,Walking
0.571,0.5,Walking
2.21,2.21,Bus
3.32,3.32,Bus
2.46,2.46,Bus
0.782,0.4,Walking
2.39,2.39,Bus
0.654,0.802,Walking
2.17,2.17,Bus
0.483,0.798,Walking
0.571,0.5,Walking
0.457,0.5,Walking
0.482,0.4,Walking
0.46,0.4,Walking
0.27,0.3,Walking
0.5,0.5,Walking
0.28,0.3,Walking
3.19,2.4,Bus
0.226,0.3,Walking
2.5,2.4,Bus
4.51,2.4,Bus
0.499,0.6,Walking
2.65,2.4,Bus
13.29,13.29,Car
0,0.644,Car
13.08,13.08,Car
3.02,3.02,Bus
2.27,2.27,Running
79.15,79.15,Car
12.4,13,Car
63.07,63.07,Car
1.21,1.21,Car
28.38,28.38,Car
15.39,11.75,Car
14.75,11.75,Car
0.653,0.6,Walking
3.17,1.77,Bus
2.88,1.77,Bus
0.356,0.3,Walking
0.369,0.4,Walking
0.387,0.4,Walking
0.614,0.65,Walking
0.827,0.8,Walking
0.73,0.3,Walking
0.536,0.3,Walking
0.497,0.45,Walking
2.57,2.1,Bus
3.18,2.1,Bus
2.69,2.1,Bus
0.604,0.5,Walking
3.39,2.5,Car
3.07,2.6,Car
0.834,0.8,Biking
0.655,0.75,Biking
0.89,0.9,Biking
2.82,2.4,Bus
0.518,0.5,Walking
2.67,2.4,Bus
2.8,2.6,Bus
19.53,20,Car
0.421,0.4,Biking
0.493,0.45,Biking
0.317,0.32,Walking
3.31,1.9,Bus
0.37,0.35,Biking
1.26,1,Biking