predicted_duration,actual_duration,mode
49.00,54.00,Bus
51.00,51.00,Walking
15.00,25.00,E-Scooter
02.00,17.00,Bike
17.00,17.00,Walking
06.00,16.00,Walking
10.00,15.00,Bus
15.00,15.00,Walking
09.00,14.00,Walking
03.00,12.00,Walking
04.00,11.00,Walking
02.00,11.00,Bus
11.00,11.00,Walking
03.00,11.00,Walking
11.00,11.00,Walking
03.00,10.00,Bus
08.00,10.00,Walking
10.00,10.00,Bus
10.00,10.00,Bus
10.00,10.00,Walking
05.00,09.00,Walking
06.21,09.00,Walking
03.00,09.00,Walking
05.00,09.00,Walking
19.00,09.00,Walking
08.26,09.00,Walking
06.00,09.00,Walking
04.00,09.00,Walking
09.00,09.00,Walking
44.00,08.00,Bus
03.00,08.00,Bus
04.00,08.00,Bus
08.00,08.00,Bus
05.00,08.00,Walking
03.00,08.00,Walking
03.00,08.00,Bus
04.00,08.00,Bus
08.00,08.00,Car
06.00,07.00,Car
04.00,07.00,Walking
04.17,07.00,Walking
07.00,06.00,Car
04.11,06.00,Car
04.00,06.00,E-Scooter
05.01,06.00,Car
04.39,06.00,Car
05.00,06.00,Walking
06.00,06.00,Walking
04.00,06.00,Walking
06.00,06.00,Bus
06.00,05.00,Bus
05.00,05.00,Walking
04.09,05.00,Walking
03.00,05.00,Walking
03.00,05.00,Walking
04.17,05.00,Walking
03.52,05.00,Bus
04.17,05.00,Bus
04.00,05.00,Bus
04.00,05.00,Walking
04.00,04.00,Bus
04.00,04.00,Walking
02.00,04.00,Bus
04.00,04.00,Walking
04.01,04.00,Walking
03.58,04.00,Walking
03.00,03.00,Walking
02.00,03.00,Walking
02.09,03.00,Walking
02.00,03.00,Walking
02.00,03.00,Walking
04.04,03.00,Bus
03.00,03.00,Walking
03.00,03.00,Bus
02.46,03.00,Bus
02.56,03.00,Walking
04.00,03.00,Bus
02.00,03.00,Car
03.00,03.00,Car
00.00,03.00,Car
03.00,03.00,Bus
03.00,02.00,Running
03.00,02.00,Car
02.00,02.00,Car
02.00,02.00,Car
02.00,02.00,Car
15.00,01.23,Car